carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
12122,toyota, Avensis,2016,Manual,41257,Diesel,20,67.3,1.6
12129,ford, Grand C-MAX,2016,Manual,36706,Diesel,30,61.4,2
12133,ford, Edge,2018,Semi-Auto,3420,Diesel,145,37.2,2
12136,toyota, Land Cruiser,2020,Semi-Auto,3390,Diesel,145,30.1,2.8
12138,skoda, Kamiq,2019,Automatic,3985,Petrol,145,44.1,1.5
12141,audi, A8,2018,Automatic,10296,Diesel,145,50.4,3
12142,vw, Shuttle,2018,Manual,9289,Diesel,145,46.3,2
12151,vw, CC,2015,Manual,36602,Diesel,30,62.8,2
12153,vw, Scirocco,2017,Manual,20491,Diesel,20,55.4,2
12155,bmw, M2,2019,Automatic,2689,Petrol,145,29.1,3
12158,ford, Puma,2019,Manual,2233,Petrol,145,51.4,1
12160,hyundi, I800,2017,Automatic,41469,Diesel,145,33.6,2.5
12166,toyota, Hilux,2020,Automatic,1259,Diesel,265,2.8,2.4
12167,vw, Arteon,2018,Semi-Auto,23000,Diesel,145,55.4,2
12173,audi, A7,2017,Semi-Auto,56460,Diesel,160,52.3,3
12179,ford, Galaxy,2016,Manual,16407,Diesel,125,56.5,2
12180,skoda, Kamiq,2020,Automatic,228,Petrol,145,44.1,1.5
12181,hyundi, I40,2019,Manual,10,Diesel,145,52.3,1.6
12182,audi, A7,2011,Semi-Auto,72000,Petrol,300,34.4,3
12183,skoda, Yeti,2013,Semi-Auto,38000,Petrol,165,44.1,1.2
12184,hyundi, IX35,2013,Manual,25892,Diesel,145,48.7,1.7
12186,bmw, X4,2020,Automatic,5000,Diesel,145,40.9,3
12187,ford, Edge,2017,Manual,19726,Diesel,160,48.7,2
12191,merc, V Class,2018,Automatic,3067,Diesel,145,44.8,2.2
12193,ford, Mustang,2016,Automatic,18500,Petrol,570,23.5,5
12196,merc, GL Class,2016,Automatic,16489,Diesel,125,56.5,2.1
12199,ford, Grand C-MAX,2017,Manual,31976,Diesel,30,61.4,2
12201,bmw, Z4,2019,Automatic,2756,Petrol,145,33.2,3
12203,ford, Edge,2017,Semi-Auto,36000,Diesel,160,48.7,2
12208,skoda, Kamiq,2019,Semi-Auto,2200,Petrol,145,44.1,1.5
12210,vauxhall, Combo Life,2019,Manual,12000,Diesel,145,53.3,1.5
12211,ford, Puma,2020,Manual,3000,Petrol,145,50.4,1
12219,ford, Edge,2017,Manual,38778,Diesel,160,48.7,2
12220,skoda, Kamiq,2019,Semi-Auto,4750,Petrol,145,45.6,1
12224,bmw, M4,2018,Automatic,3033,Petrol,145,33.6,3
12228,toyota, Supra,2019,Semi-Auto,500,Petrol,145,34.5,3
12231,hyundi, Santa Fe,2014,Manual,50425,Diesel,200,46.3,2.2
12232,merc, CLS Class,2018,Semi-Auto,11461,Diesel,145,57.7,2.1
12233,bmw, X7,2019,Semi-Auto,2881,Diesel,145,33.6,3
12235,merc, CLS Class,2018,Semi-Auto,8673,Petrol,145,36.2,3
12238,toyota, Prius,2017,Automatic,37564,Hybrid,140,85.6,1.8
12245,merc, V Class,2019,Automatic,9,Diesel,145,36.2,2
12247,bmw, 6 Series,2019,Automatic,35,Petrol,145,29.1,3
12248,vw, Caravelle,2019,Automatic,2000,Diesel,150,33.6,2
12250,merc, GL Class,2018,Automatic,12471,Petrol,145,50.4,1.6
12254,audi, A7,2019,Semi-Auto,20,Diesel,145,38.2,2
12256,toyota, Verso,2017,Automatic,22512,Petrol,200,42.8,1.8
12258,hyundi, IX35,2015,Manual,46573,Diesel,145,53.3,1.7
12259,bmw, X4,2019,Automatic,3170,Petrol,145,26.9,3
12264,skoda, Yeti,2017,Manual,16000,Petrol,125,51.4,1.2
12265,ford, Galaxy,2018,Manual,19033,Diesel,145,56.5,2
12266,vw, Amarok,2018,Automatic,24000,Diesel,260,36.2,3
12268,merc, GLB Class,2020,Semi-Auto,349,Diesel,145,46.3,2
12270,audi, A8,2015,Automatic,25406,Diesel,160,49.6,3
12274,ford, Puma,2020,Manual,2477,Petrol,145,50.4,1
12276,skoda, Kamiq,2019,Automatic,4671,Petrol,150,43.5,1.5
12277,toyota, Avensis,2016,Manual,40889,Diesel,20,67.3,1.6
12279,ford, Galaxy,2017,Manual,8204,Diesel,145,56.5,2
12283,audi, S3,2017,Semi-Auto,26500,Petrol,150,43.5,2
12284,audi, RS3,2017,Semi-Auto,17552,Petrol,145,34,2.5
12287,ford, Mustang,2018,Automatic,3000,Petrol,145,28.8,2.3
12289,audi, RS6,2017,Semi-Auto,13051,Petrol,150,29.4,4
12291,skoda, Kamiq,2020,Manual,1927,Petrol,145,47.9,1
12292,merc, X-CLASS,2019,Automatic,40,Diesel,260,31.4,3
12295,vw, Beetle,2014,Semi-Auto,17162,Diesel,160,50.4,2
12298,ford, Galaxy,2019,Semi-Auto,9770,Diesel,145,54.3,2
12299,merc, M Class,2015,Automatic,50408,Diesel,200,39.2,2.1
12300,merc, CLS Class,2018,Semi-Auto,14130,Diesel,150,48.7,2.9
12309,ford, Galaxy,2013,Manual,67000,Diesel,145,49.6,2
12311,toyota, Prius,2017,Automatic,27203,Hybrid,0,85.6,1.8
12312,hyundi, IX20,2016,Automatic,31000,Petrol,165,43.5,1.6
12314,ford, Grand C-MAX,2017,Manual,28958,Diesel,30,64.2,1.5
12318,vauxhall, Agila,2011,Manual,25669,Petrol,30,55.4,1.2
12320,merc, S Class,2019,Semi-Auto,5961,Diesel,145,52.3,3
12321,ford, KA,2013,Manual,40000,Petrol,30,57.7,1.2
12324,merc, X-CLASS,2018,Automatic,7820,Diesel,260,31.4,3
12325,vw, Shuttle,2019,Semi-Auto,10074,Diesel,145,32.8,2
12326,ford, KA,2018,Manual,6878,Petrol,145,57.7,1.2
12328,ford, Tourneo Custom,2016,Manual,44233,Diesel,200,46.3,2
12329,skoda, Scala,2019,Automatic,3572,Petrol,145,45.6,1.5
12331,ford, Grand Tourneo Connect,2014,Manual,37381,Diesel,125,58.9,1.6
12332,toyota, Land Cruiser,2015,Semi-Auto,27845,Diesel,300,38.2,2.8
12333,ford, Grand Tourneo Connect,2016,Automatic,21576,Diesel,125,56.6,1.5
12338,vw, Arteon,2017,Semi-Auto,13764,Petrol,145,47.1,2
12346,ford, Galaxy,2018,Semi-Auto,31589,Diesel,145,52.3,2
12354,ford, Galaxy,2019,Automatic,11112,Diesel,145,53.3,2
12355,vw, Tiguan Allspace,2019,Semi-Auto,6000,Diesel,145,39.2,2
12359,ford, Edge,2019,Semi-Auto,22,Diesel,145,37.2,2
12360,bmw, X6,2016,Semi-Auto,25684,Petrol,570,25.4,4.4
12362,ford, Grand C-MAX,2015,Manual,47182,Diesel,30,64.2,1.5
12364,skoda, Yeti,2016,Automatic,6000,Petrol,125,51.4,1.2
12365,merc, V Class,2019,Automatic,3179,Diesel,145,36.2,2
12368,merc, CLS Class,2013,Automatic,56198,Diesel,200,46.3,3
12373,vw, Amarok,2016,Automatic,58349,Diesel,260,35.3,2
12376,skoda, Rapid,2016,Manual,59997,Diesel,0,74.3,1.6
12378,vauxhall, Combo Life,2019,Manual,14500,Petrol,145,42.2,1.2
12379,vw, Arteon,2019,Automatic,3000,Petrol,145,32.8,2
12381,bmw, X4,2019,Semi-Auto,14404,Diesel,150,42.8,2
12384,vw, Amarok,2016,Automatic,32990,Diesel,260,35.3,2
12386,vauxhall, Antara,2012,Manual,49000,Diesel,235,44.8,2.2
12388,merc, S Class,2017,Automatic,21000,Petrol,150,40.9,3
12392,merc, S Class,2017,Automatic,31582,Diesel,150,50.4,3
12401,hyundi, Santa Fe,2019,Semi-Auto,3837,Diesel,145,39.2,2.2
12402,audi, RS5,2019,Automatic,9771,Petrol,145,29.7,2.9
12405,ford, Grand C-MAX,2017,Manual,58111,Diesel,30,64.2,1.5
12407,skoda, Scala,2019,Semi-Auto,4587,Petrol,145,45.6,1.5
12410,hyundi, I40,2015,Semi-Auto,36831,Diesel,125,56.5,1.7
12412,bmw, M4,2020,Automatic,5000,Petrol,145,34,3
12415,vw, Beetle,2013,Manual,34803,Petrol,205,41.5,1.4
12417,merc, V Class,2019,Automatic,2326,Diesel,145,45.6,2.2
12422,vw, Caravelle,2020,Automatic,1001,Diesel,145,33.6,2
12424,skoda, Scala,2019,Semi-Auto,95,Petrol,145,47.1,1
12425,vw, Caravelle,2019,Automatic,7583,Diesel,145,32.8,2
12429,ford, KA,2009,Manual,43000,Petrol,30,55.4,1.2
12430,ford, Grand Tourneo Connect,2019,Manual,3500,Diesel,145,61.4,1.5
12432,skoda, Yeti,2011,Manual,93579,Diesel,200,46.3,2
12434,merc, CLS Class,2016,Semi-Auto,28415,Diesel,160,51.4,3
12436,audi, A8,2018,Semi-Auto,6588,Diesel,145,48.7,3
12437,ford, Grand C-MAX,2016,Manual,17621,Diesel,30,64.2,1.5
12442,toyota, PROACE VERSO,2020,Automatic,1255,Diesel,145,38.7,2
12444,skoda, Rapid,2015,Semi-Auto,26357,Petrol,150,48.7,1.4
12448,bmw, M2,2019,Semi-Auto,100,Petrol,145,29.1,3
12449,ford, KA,2014,Manual,35000,Petrol,30,57.7,1.2
12450,bmw, Z4,2020,Semi-Auto,13,Petrol,145,38.7,2
12451,bmw, 7 Series,2019,Semi-Auto,7200,Diesel,150,42.2,3
12452,ford, Edge,2019,Semi-Auto,1839,Diesel,145,37.2,2
12453,toyota, Hilux,2018,Automatic,35041,Diesel,265,36.2,2.4
12457,skoda, Rapid,2017,Manual,24451,Diesel,145,74.3,1.6
12460,ford, KA,2014,Manual,51028,Petrol,30,57.7,1.2
12465,vw, Scirocco,2015,Manual,20076,Diesel,20,55.4,2
12467,ford, Grand Tourneo Connect,2019,Manual,3500,Diesel,145,61.4,1.5
12468,toyota, Avensis,2016,Manual,58260,Diesel,30,62.8,2
12469,hyundi, Santa Fe,2018,Manual,7781,Diesel,145,47.1,2.2
12474,ford, Grand Tourneo Connect,2019,Automatic,3942,Diesel,145,56.6,1.5
12482,hyundi, I40,2014,Manual,63458,Diesel,30,62.8,1.7
12485,merc, CLS Class,2016,Semi-Auto,30496,Diesel,160,51.4,3
12487,toyota, Avensis,2014,Manual,58523,Diesel,30,61.4,2
12501,hyundi, I40,2013,Manual,66300,Diesel,150,55.4,1.7
12504,vauxhall, Combo Life,2019,Automatic,5278,Diesel,145,50.4,1.5
12506,skoda, Scala,2019,Semi-Auto,5052,Petrol,150,45.6,1.5
12507,toyota, Verso,2017,Manual,23850,Diesel,145,62.8,1.6
12508,merc, CLS Class,2016,Automatic,39200,Diesel,125,57.7,2.1
12511,hyundi, Santa Fe,2015,Semi-Auto,37854,Diesel,265,42.2,2.2
12518,ford, Fusion,2006,Manual,69255,Petrol,200,43.5,1.4
12521,ford, Grand C-MAX,2017,Manual,12628,Diesel,30,64.2,1.5
12522,toyota, Hilux,2019,Manual,6500,Diesel,265,40.4,2.4
12538,hyundi, I40,2014,Manual,38406,Diesel,30,62.8,1.7
12542,ford, Galaxy,2013,Manual,54922,Diesel,260,41.5,2.2
12545,ford, Edge,2017,Automatic,27146,Diesel,145,47.9,2
12546,merc, CLK,2002,Automatic,98000,Petrol,325,24.6,5
12547,bmw, X6,2013,Automatic,70650,Diesel,325,36.7,3
12548,hyundi, Santa Fe,2017,Automatic,20599,Diesel,150,42.8,2.2
12549,hyundi, I40,2017,Manual,21743,Diesel,145,65.7,1.7
12551,vauxhall, Combo Life,2019,Manual,11200,Petrol,150,42.2,1.2
12552,hyundi, IX20,2019,Manual,100,Petrol,145,37.2,1.6
12553,merc, CLS Class,2018,Semi-Auto,5673,Diesel,145,48.7,2.9
12554,hyundi, Santa Fe,2016,Automatic,51849,Diesel,235,42.2,2.2
12556,hyundi, IX35,2012,Manual,64992,Petrol,205,41.5,1.6
12557,merc, GLS Class,2017,Automatic,45239,Petrol,150,23,5.5
12560,hyundi, Santa Fe,2015,Semi-Auto,38514,Diesel,265,42.2,2.2
12562,hyundi, Santa Fe,2019,Automatic,623,Diesel,145,42.8,2.2
12563,skoda, Yeti,2011,Automatic,103986,Diesel,235,43.5,2
12564,vw, Scirocco,2017,Semi-Auto,27597,Diesel,145,58.9,2
12566,audi, A7,2013,Automatic,71100,Diesel,235,44.1,3
12574,vw, Arteon,2019,Semi-Auto,4482,Diesel,145,44.1,2
12575,bmw, X7,2020,Semi-Auto,5656,Diesel,150,31.4,3
12576,bmw, X6,2019,Semi-Auto,3145,Petrol,145,26.4,3
12580,vw, Scirocco,2016,Manual,14772,Petrol,125,52.3,1.4
12583,toyota, Verso,2016,Manual,22691,Petrol,200,41.5,1.6
12589,bmw, i3,2017,Automatic,33021,Hybrid,0,470.8,0
12590,vauxhall, GTC,2016,Manual,10337,Petrol,160,47.1,1.4
12591,vw, Caravelle,2012,Automatic,45000,Diesel,325,34.4,2
12594,merc, SLK,2013,Automatic,35116,Diesel,145,56.5,2.1
12598,bmw, X4,2017,Automatic,44397,Diesel,200,47.1,3
12601,bmw, X7,2019,Semi-Auto,9200,Diesel,145,31.4,3
12602,skoda, Yeti,2016,Automatic,19100,Petrol,125,51.4,1.2
12603,vw, Arteon,2019,Semi-Auto,6095,Petrol,150,47.1,2
12604,vw, Amarok,2018,Automatic,29771,Diesel,260,36.2,3
12605,merc, GL Class,2015,Automatic,61289,Diesel,330,35.3,3
12609,ford, Tourneo Custom,2019,Automatic,2000,Diesel,145,32.1,2
12615,bmw, X4,2019,Semi-Auto,3098,Diesel,150,42.8,2
12618,merc, CLS Class,2016,Semi-Auto,39972,Diesel,125,57.7,2.1
12619,bmw, X4,2019,Semi-Auto,2316,Diesel,145,42.8,2
12621,toyota, Land Cruiser,2017,Semi-Auto,10023,Diesel,145,38.2,2.8
12622,hyundi, IX20,2014,Manual,19898,Petrol,125,50.4,1.4
12630,audi, S3,2015,Semi-Auto,46965,Petrol,205,40.9,2
12631,bmw, M4,2020,Semi-Auto,99,Petrol,145,34,3
12632,hyundi, Getz,2008,Manual,67000,Petrol,125,51.4,1.1
12639,hyundi, IX20,2017,Manual,9870,Petrol,125,50.4,1.4
12641,bmw, 6 Series,2015,Automatic,25757,Diesel,160,49.6,3
12645,bmw, Z4,2020,Semi-Auto,100,Petrol,145,33.2,3
12647,toyota, Land Cruiser,2017,Semi-Auto,30071,Diesel,300,38.2,2.8
12648,hyundi, Santa Fe,2017,Manual,30131,Diesel,150,47.1,2.2
12651,vw, Caravelle,2019,Automatic,2071,Diesel,145,33.6,2
12655,skoda, Kamiq,2019,Automatic,3610,Diesel,145,52.3,1.6
12657,audi, RS6,2014,Automatic,58000,Petrol,555,28.8,4
12662,audi, A7,2018,Automatic,19132,Petrol,150,39.8,3
12665,merc, V Class,2018,Manual,27222,Diesel,145,46.3,2.1
12666,hyundi, IX20,2015,Manual,29731,Petrol,125,50.4,1.4
12668,bmw, 6 Series,2016,Semi-Auto,29403,Petrol,260,35.8,3
12672,vw, Arteon,2019,Manual,100,Diesel,145,52.3,2
12673,hyundi, I40,2016,Manual,31731,Diesel,30,65.7,1.7
12675,skoda, Scala,2019,Semi-Auto,2000,Petrol,150,47.1,1
12677,ford, KA,2008,Manual,50990,Petrol,160,45.6,1.3
12680,merc, M Class,2013,Automatic,27932,Diesel,200,44.8,2.1
12683,bmw, Z4,2015,Semi-Auto,15768,Petrol,330,30.1,3
12685,audi, A8,2018,Semi-Auto,5538,Diesel,145,50.4,3
12687,toyota, Prius,2013,Automatic,80000,Hybrid,0,70.6,1.8
12692,bmw, M4,2018,Semi-Auto,8725,Petrol,145,33.6,3
12694,toyota, Verso,2016,Manual,25725,Petrol,200,41.5,1.6
12702,vw, Amarok,2019,Automatic,10000,Diesel,260,33.6,3
12703,hyundi, Santa Fe,2017,Semi-Auto,39589,Diesel,240,42.8,2.2
12704,audi, A8,2014,Automatic,48399,Diesel,200,47.1,3
12705,merc, CLS Class,2019,Semi-Auto,992,Petrol,150,31.7,3
12708,bmw, 7 Series,2016,Automatic,33000,Diesel,145,54.3,3
12710,merc, S Class,2010,Automatic,51238,Diesel,300,37.2,3
12711,bmw, Z4,2020,Semi-Auto,5,Petrol,150,37.2,2
12713,vw, Shuttle,2019,Semi-Auto,12746,Diesel,145,32.8,2
12715,vw, Caddy Maxi Life,2019,Automatic,13191,Diesel,145,44.1,2
12716,merc, V Class,2016,Automatic,43000,Diesel,200,45.6,2.1
12726,toyota, Prius,2017,Automatic,37500,Hybrid,140,85.6,1.8
12728,vw, Caddy Maxi Life,2019,Semi-Auto,14056,Diesel,145,44.1,2
12734,merc, X-CLASS,2020,Automatic,303,Diesel,260,35.8,2.3
12736,hyundi, IX35,2015,Manual,29865,Diesel,145,53.3,1.7
12746,vw, California,2019,Automatic,7486,Diesel,260,33.2,2
12750,vauxhall, Combo Life,2018,Manual,1146,Diesel,145,53.3,1.5
12754,merc, V Class,2018,Manual,32095,Diesel,150,46.3,2.1
12755,ford, Galaxy,2016,Semi-Auto,3950,Diesel,145,52.3,2
12759,hyundi, Santa Fe,2017,Semi-Auto,26385,Diesel,235,42.8,2.2
12762,bmw, M3,2004,Manual,60000,Petrol,325,23.3,3.2
12763,bmw, X4,2016,Automatic,52131,Diesel,150,54.3,2
12767,bmw, X7,2019,Semi-Auto,1657,Diesel,145,31.4,3
12768,bmw, Z4,2016,Manual,25921,Petrol,205,41.5,2
12772,skoda, Yeti,2016,Manual,29000,Diesel,30,62.8,2
12773,skoda, Scala,2019,Manual,1037,Diesel,145,57.7,1.6
12777,audi, SQ7,2017,Automatic,40000,Diesel,300,39.2,4
12779,merc, M Class,2014,Automatic,74869,Diesel,205,44.8,2.1
12788,hyundi, I40,2015,Manual,54000,Diesel,30,65.7,1.7
12789,toyota, Land Cruiser,2015,Automatic,51437,Diesel,300,38.2,2.8
12790,merc, CLS Class,2019,Automatic,1751,Diesel,145,45.6,2
12796,vw, Scirocco,2014,Manual,44034,Diesel,30,62.8,2
12798,hyundi, I800,2016,Automatic,48039,Diesel,325,33.6,2.5
12804,vauxhall, Combo Life,2019,Manual,10543,Diesel,145,53.3,1.5
12805,audi, S3,2016,Automatic,60000,Petrol,205,40.9,2
12807,toyota, Camry,2019,Automatic,5145,Hybrid,135,52.3,2.5
12810,toyota, Hilux,2015,Automatic,19962,Diesel,260,32.8,3
12811,audi, A7,2017,Semi-Auto,34128,Petrol,330,29.7,4
12812,vw, Beetle,2016,Manual,20991,Petrol,125,51.4,1.2
12818,ford, KA,2016,Manual,19065,Petrol,30,57.7,1.2
12821,vw, Scirocco,2017,Manual,22430,Petrol,145,47.1,2
12822,toyota, Hilux,2019,Automatic,3500,Diesel,260,36.2,2.4
12825,merc, CLA Class,2020,Automatic,2000,Petrol,150,44.8,1.3
12829,merc, GL Class,2015,Automatic,21210,Diesel,125,56.5,2.1
12831,bmw, 6 Series,2016,Semi-Auto,15668,Petrol,260,35.8,3
12832,bmw, 7 Series,2017,Automatic,36500,Diesel,145,57.6,3
12833,vw, Arteon,2019,Automatic,7148,Diesel,145,50.4,2
12836,skoda, Scala,2019,Semi-Auto,8471,Petrol,150,47.1,1
12838,vw, Arteon,2019,Manual,7998,Diesel,145,52.3,2
12841,merc, V Class,2017,Automatic,14311,Diesel,235,44.8,2.1
12843,ford, Galaxy,2018,Manual,34615,Diesel,145,56.5,2
12848,vw, Beetle,2016,Manual,35916,Petrol,150,47.1,1.4
12850,merc, V Class,2018,Manual,21525,Diesel,145,46.3,2.1
12853,toyota, Avensis,2017,Manual,51681,Diesel,145,61.4,2
12855,toyota, Verso,2016,Semi-Auto,36318,Petrol,160,43.5,1.8
12858,skoda, Yeti,2016,Manual,14334,Petrol,125,51.4,1.2
12859,skoda, Rapid,2017,Manual,26858,Diesel,20,74.3,1.4
12860,audi, RS6,2015,Automatic,35000,Petrol,325,29.4,4
12861,audi, RS5,2019,Automatic,5000,Petrol,145,30.1,2.9
12862,merc, M Class,2011,Automatic,131000,Diesel,555,31,3
12866,merc, G Class,2015,Semi-Auto,10000,Petrol,570,20.5,5.5
12869,skoda, Rapid,2017,Manual,23000,Petrol,150,61.4,1
12870,hyundi, IX20,2017,Automatic,17736,Petrol,150,43.5,1.6
12872,bmw, M4,2019,Automatic,99,Petrol,145,34,3
12873,ford, Edge,2016,Manual,30282,Diesel,205,47.9,2
12874,hyundi, I800,2019,Manual,5137,Diesel,145,31.7,2.5
12877,audi, A8,2018,Semi-Auto,3027,Diesel,145,40.4,3
12878,vw, Caddy Maxi Life,2019,Semi-Auto,10194,Diesel,150,44.1,2
12881,ford, KA,2016,Manual,13592,Petrol,30,57.7,1.2
12882,ford, Puma,2019,Manual,300,Petrol,145,50.4,1
12887,vauxhall, Zafira Tourer,2017,Manual,18477,Petrol,150,41.5,1.4
12892,toyota, Prius,2016,Automatic,35373,Hybrid,0,85.6,1.8
12893,vauxhall, GTC,2018,Manual,11882,Petrol,145,36.2,2
12895,audi, RS4,2015,Semi-Auto,35905,Petrol,565,26.4,4.2
12896,bmw, 7 Series,2014,Automatic,78094,Diesel,160,50.4,3
12897,vw, Tiguan Allspace,2019,Automatic,3698,Diesel,145,39.2,2
12902,vw, Scirocco,2017,Manual,5396,Petrol,150,52.3,1.4
12907,ford, Grand Tourneo Connect,2016,Automatic,45228,Diesel,125,56.6,1.5
12912,merc, CLA Class,2013,Automatic,74194,Diesel,30,62.8,2.1
12918,hyundi, IX20,2011,Manual,23000,Petrol,120,50.4,1.4
12919,skoda, Roomster,2014,Manual,51956,Petrol,145,49.6,1.2
12936,merc, X-CLASS,2017,Manual,6000,Diesel,260,37.2,2.3
12938,vw, Scirocco,2017,Automatic,13695,Petrol,145,44.1,2
12939,vw, Amarok,2019,Automatic,6317,Diesel,260,33.6,3
12946,bmw, Z4,2009,Manual,76000,Petrol,325,30.1,3
12947,ford, Mustang,2016,Manual,11600,Petrol,580,20.9,5
12950,ford, KA,2015,Manual,19502,Petrol,30,57.7,1.2
12954,hyundi, IX35,2015,Manual,33177,Diesel,160,51.4,2
12955,vw, Scirocco,2017,Manual,30186,Petrol,150,52.3,1.4
12958,vw, Arteon,2019,Automatic,11506,Diesel,145,50.4,2
12960,vw, Caravelle,2019,Semi-Auto,12192,Diesel,145,32.8,2
12961,skoda, Rapid,2019,Manual,13579,Petrol,145,58.9,1
12964,skoda, Kamiq,2019,Manual,10,Petrol,145,47.1,1.5
12965,merc, CLS Class,2017,Automatic,39040,Diesel,145,57.7,2.1
12970,bmw, M4,2019,Semi-Auto,19322,Petrol,150,34,3
12974,ford, Grand C-MAX,2014,Manual,70000,Diesel,125,57.7,1.6
12979,vauxhall, Combo Life,2019,Manual,2721,Petrol,145,42.2,1.2
12981,vw, Jetta,2007,Automatic,55000,Diesel,190,45.6,2
12982,merc, M Class,2011,Automatic,69000,Diesel,555,32.5,3
12985,hyundi, IX20,2017,Automatic,20673,Petrol,150,43.5,1.6
12986,audi, RS4,2014,Semi-Auto,58460,Petrol,555,26.4,4.2
12988,toyota, Prius,2019,Automatic,13772,Hybrid,135,235,1.8
12989,merc, CLS Class,2013,Automatic,48500,Diesel,145,54.3,2.1
12992,hyundi, IX20,2017,Manual,11567,Petrol,145,50.4,1.4
12993,toyota, Verso,2017,Manual,13918,Petrol,200,41.5,1.6
12996,ford, Edge,2017,Automatic,33576,Diesel,160,48.7,2
12998,vw, Amarok,2019,Automatic,6800,Diesel,260,36.2,3
12999,vw, Arteon,2019,Automatic,4560,Diesel,145,44.1,2
13000,vw, Amarok,2016,Automatic,29500,Diesel,265,35.3,2
13001,audi, S3,2015,Manual,32000,Petrol,200,39.8,2
13002,hyundi, Santa Fe,2017,Automatic,18543,Diesel,140,42.8,2.2
13003,ford, KA,2013,Manual,65000,Petrol,30,57.7,1.2
13004,merc, V Class,2017,Automatic,5000,Diesel,150,48.7,2.1
13012,bmw, X6,2018,Semi-Auto,18212,Diesel,145,40.9,3
13013,hyundi, I800,2018,Automatic,35757,Diesel,145,28,2.5
13016,vw, Arteon,2019,Semi-Auto,2313,Petrol,145,48.7,1.5
13017,ford, KA,2014,Manual,34000,Petrol,30,57.7,1.2
13020,merc, CLS Class,2016,Automatic,48000,Diesel,125,57.7,2.1
13024,merc, S Class,2016,Automatic,75000,Diesel,160,50.4,3
13031,merc, CLS Class,2019,Semi-Auto,2352,Diesel,145,48.7,2.9
13034,vw, Scirocco,2016,Manual,42038,Diesel,30,53.3,2
13040,skoda, Scala,2019,Automatic,10000,Diesel,145,54.3,1.6
13041,vw, Amarok,2019,Automatic,9893,Diesel,260,27.7,3
13042,hyundi, IX35,2014,Manual,35541,Diesel,145,53.3,1.7
13043,vw, Arteon,2019,Semi-Auto,7525,Diesel,145,50.4,2
13046,skoda, Yeti,2017,Automatic,10700,Petrol,125,51.4,1.2
